,gender,age,local_or_non_local,university,current_study,year_of_study,drinking_frequency,drinking_consumption_amount,drinking_frequency_six_servings,type_of_drink,drinking_occasion,drinking_frequency_before_examination,gpa,activity_1,activity_2,academic_achievements,professional_examinations,nationality,drinking_consumption_amount_score,drinking_frequency_score,drinking_frequency_six_servings_score,drinking_frequency_before_examination_score,risk_score
1,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,7.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.67,1.0,1.0,6,0.0,Philipine,4,1,1,0,6
2,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,3.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.33,1.0,1.0,5,0.0,Indonesia,2,2,1,0,5
4,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,2.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.55,1.0,0.0,4,0.0,Indonesia,1,2,1,0,4
5,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,3.0,Less than once per month 少於每月,Cocktails,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.5,1.0,0.0,6,0.0,Indonesia,2,2,1,0,5
6,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,3.0,Weekly 每週,Whiskey 威士忌,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Occasionally (20%) 偶爾,3.6,1.0,0.0,2,0.0,Taiwan,2,3,3,1,9
7,Female 女性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,1.5,Never 從來不會,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Never (0%) 從來不會,3.54,1.0,0.0,2,0.0,Taiwan,1,2,0,0,3
8,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,3.0,Weekly 每週,Whiskey 威士忌,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Occasionally (20%) 偶爾,3.6,1.0,0.0,2,0.0,Taiwan,2,3,3,1,9
9,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,3.0,Weekly 每週,Whiskey 威士忌,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Occasionally (20%) 偶爾,3.6,1.0,0.0,2,0.0,Taiwan,2,3,3,1,9
10,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,15.0,Less than once per month 少於每月,Whiskey 威士忌,Family gatherings 家庭聚會,Never (0%) 從來不會,3.6,1.0,0.0,1,0.0,Indonesia,5,1,1,0,7
11,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,3.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.71,1.0,1.0,7,0.0,Indonesia,2,1,1,0,4
12,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,10.0,Monthly 每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Occasionally (20%) 偶爾,3.27,0.0,0.0,0,0.0,Indonesia,5,2,2,1,10
13,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,2-4 times a month 每月二至四次,2.0,Never 從來不會,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.42,1.0,1.0,0,0.0,Indonesia,1,2,0,1,4
14,Prefer not to say 不方便透露,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,12.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.4,1.0,1.0,0,0.0,Indonesia,5,1,1,0,7
15,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,2.0,Never 從來不會,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.4,1.0,1.0,4,0.0,Indonesia,1,1,0,1,3
16,Male 男性,19,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Monthly or less 少於每月,3.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.5,1.0,1.0,2,0.0,Indonesia,2,1,1,1,5
20,Female 女性,21,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,5.0,Monthly 每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Sometimes (40%) 有時,3.3,1.0,1.0,1,0.0,Indonesia,3,2,2,2,9
21,Female 女性,20,Local student 本地生,The Hang Seng University of Hong Kong,Undergraduate student 本科生,3.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.38,0.0,0.0,1,0.0,Hong Kong,0,0,0,0,0
22,Female 女性,19,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Monthly or less 少於每月,7.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.0,1.0,1.0,0,0.0,Indonesia,4,1,1,0,6
23,Female 女性,21,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,1.0,Never 從來不會,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.33,0.0,0.0,2,0.0,Indonesia,1,1,0,1,3
24,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,1.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.1,1.0,1.0,2,1.0,Taiwan,1,1,1,0,3
25,Female 女性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,4.0,Less than once per month 少於每月,Spirits 烈酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.3,1.0,0.0,0,0.0,Indonesia,2,1,1,0,4
26,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,1.0,Never 從來不會,Vodka 伏特加,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.3,1.0,1.0,0,0.0,United States,1,1,0,0,2
27,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,2-4 times a month 每月二至四次,5.0,Monthly 每月,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.6,0.0,0.0,0,0.0,"Korea, South",3,2,2,0,7
28,Male 男性,21,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,12.0,Never 從來不會,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.6,1.0,1.0,1,0.0,Indonesia,5,2,0,0,7
30,Female 女性,19,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,1.5,Never 從來不會,Wine,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會",Never (0%) 從來不會,3.6,1.0,1.0,1,0.0,Indonesia,1,1,0,0,2
31,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,1.0,Less than once per month 少於每月,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.83,1.0,1.0,20,0.0,Indonesia,1,1,1,0,3
32,Female 女性,19,Non-local student 非本地生,The Hong Kong Polytechnic University (PolyU) 香港理工大學,Undergraduate student 本科生,2.0,2-4 times a month 每月二至四次,1.0,Never 從來不會,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.61,1.0,1.0,2,0.0,Indonesia,1,2,0,0,3
33,Male 男性,24,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,2.0,Never 從來不會,Whiskey 威士忌,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.2,1.0,1.0,3,0.0,Taiwan,1,1,0,0,2
34,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,5.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.3,0.0,0.0,2,0.0,Indonesia,3,1,1,0,5
36,Male 男性,21,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,1.0,Less than once per month 少於每月,Beer 啤酒,"Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Occasionally (20%) 偶爾,3.46,1.0,1.0,2,0.0,Taiwan,1,2,1,1,5
37,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,1.0,Never 從來不會,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.8,1.0,1.0,5,0.0,Indonesia,1,1,0,0,2
38,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.78,0.0,0.0,6,0.0,Taiwan,0,0,0,0,0
39,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,12.0,Less than once per month 少於每月,Whiskey 威士忌,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.79,1.0,1.0,25,1.0,Taiwan,5,2,1,0,8
41,Male 男性,22,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,2.0,Less than once per month 少於每月,Gin,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Sometimes (40%) 有時,3.3,1.0,0.0,8,1.0,Taiwan,1,2,1,2,6
42,Male 男性,21,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,3.0,2-3 times a week 每週二至三次,2.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.0,1.0,1.0,0,0.0,Indonesia,1,3,1,0,5
43,Male 男性,20,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,3.0,Never 從來不會,Beer 啤酒,"Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.72,1.0,0.0,10,0.0,Indonesia,2,2,0,0,4
45,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.37,0.0,0.0,4,0.0,Indonesia,0,0,0,0,0
48,Female 女性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,2.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.68,1.0,0.0,2,0.0,Taiwan,1,2,1,1,5
50,Female 女性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,2.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.2,1.0,1.0,2,0.0,Indonesia,1,2,1,0,4
51,Male 男性,21,Local student 本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,1.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會",Never (0%) 從來不會,3.5,0.0,0.0,1,3.0,Hong Kong,1,1,1,0,3
52,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,3.0,Monthly 每月,Whiskey 威士忌,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Occasionally (20%) 偶爾,3.43,1.0,0.0,0,0.0,Taiwan,2,3,2,1,8
55,Female 女性,21,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,1.0,Never 從來不會,Beer 啤酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.4,1.0,1.0,1,0.0,Hong Kong,1,1,0,0,2
